Estado,Sorteo,Fecha,Venta_Estado,ID
Aguascalientes,MI SUENO 9,2017/07/22 00:00:00,2588,1
Baja California,MI SUENO 9,2017/07/22 00:00:00,3817,2
Baja California Sur,MI SUENO 9,2017/07/22 00:00:00,3719,3
Coahuila de Zaragoza,MI SUENO 9,2017/07/22 00:00:00,12749,5
Colima,MI SUENO 9,2017/07/22 00:00:00,3749,6
Chiapas,MI SUENO 9,2017/07/22 00:00:00,1208,7
Chihuahua,MI SUENO 9,2017/07/22 00:00:00,8071,8
Distrito Federal,MI SUENO 9,2017/07/22 00:00:00,14160,9
Durango,MI SUENO 9,2017/07/22 00:00:00,2240,10
Guanajuato,MI SUENO 9,2017/07/22 00:00:00,3978,11
Guerrero,MI SUENO 9,2017/07/22 00:00:00,837,12
Hidalgo,MI SUENO 9,2017/07/22 00:00:00,1183,13
Jalisco,MI SUENO 9,2017/07/22 00:00:00,28867,14
Estado de Mexico,MI SUENO 9,2017/07/22 00:00:00,2465,15
Michoacan de Ocampo,MI SUENO 9,2017/07/22 00:00:00,3730,16
Morelos,MI SUENO 9,2017/07/22 00:00:00,871,17
Nayarit,MI SUENO 9,2017/07/22 00:00:00,2234,18
Nuevo Leon,MI SUENO 9,2017/07/22 00:00:00,93474,19
Oaxaca,MI SUENO 9,2017/07/22 00:00:00,973,20
Puebla,MI SUENO 9,2017/07/22 00:00:00,3430,21
Queretaro,MI SUENO 9,2017/07/22 00:00:00,6335,22
Quintana Roo,MI SUENO 9,2017/07/22 00:00:00,1255,23
San Luis Potosi,MI SUENO 9,2017/07/22 00:00:00,3211,24
Sinaloa,MI SUENO 9,2017/07/22 00:00:00,10474,25
Sonora,MI SUENO 9,2017/07/22 00:00:00,11759,26
Tabasco,MI SUENO 9,2017/07/22 00:00:00,4047,27
Tamaulipas,MI SUENO 9,2017/07/22 00:00:00,16845,28
Veracruz de Ignacio de la Llave,MI SUENO 9,2017/07/22 00:00:00,4178,30
Yucatan,MI SUENO 9,2017/07/22 00:00:00,1492,31
Zacatecas,MI SUENO 9,2017/07/22 00:00:00,2100,32
Oficina Virtual,MI SUENO 9,2017/07/22 00:00:00,24885,33
Aguascalientes,MI SUENO 10,2017/10/21 00:00:00,2492,1
