Estado,Sorteo,Fecha,Venta_Estado,ID
Yucatan,TRADICIONAL 202,2016/12/22 00:00:00,2353,31
Zacatecas,TRADICIONAL 202,2016/12/22 00:00:00,2911,32
Oficina Virtual,TRADICIONAL 202,2016/12/22 00:00:00,16013,33
Aguascalientes,TRADICIONAL 203,2017/06/24 00:00:00,2677,1
Baja California,TRADICIONAL 203,2017/06/24 00:00:00,4028,2
Baja California Sur,TRADICIONAL 203,2017/06/24 00:00:00,3113,3
Coahuila de Zaragoza,TRADICIONAL 203,2017/06/24 00:00:00,13231,5
Colima,TRADICIONAL 203,2017/06/24 00:00:00,3965,6
Chiapas,TRADICIONAL 203,2017/06/24 00:00:00,1463,7
Chihuahua,TRADICIONAL 203,2017/06/24 00:00:00,8861,8
Durango,TRADICIONAL 203,2017/06/24 00:00:00,2407,10
Guanajuato,TRADICIONAL 203,2017/06/24 00:00:00,4526,11
Guerrero,TRADICIONAL 203,2017/06/24 00:00:00,862,12
Hidalgo,TRADICIONAL 203,2017/06/24 00:00:00,1315,13
Jalisco,TRADICIONAL 203,2017/06/24 00:00:00,21612,14
Mexico,TRADICIONAL 203,2017/06/24 00:00:00,15590,15
Michoacan de Ocampo,TRADICIONAL 203,2017/06/24 00:00:00,5362,16
Morelos,TRADICIONAL 203,2017/06/24 00:00:00,1212,17
Nayarit,TRADICIONAL 203,2017/06/24 00:00:00,2644,18
Nuevo Leon,TRADICIONAL 203,2017/06/24 00:00:00,77871,19
Oaxaca,TRADICIONAL 203,2017/06/24 00:00:00,846,20
Puebla,TRADICIONAL 203,2017/06/24 00:00:00,2399,21
Queretaro,TRADICIONAL 203,2017/06/24 00:00:00,7476,22
Quintana Roo,TRADICIONAL 203,2017/06/24 00:00:00,1175,23
San Luis Potosi,TRADICIONAL 203,2017/06/24 00:00:00,3366,24
Sinaloa,TRADICIONAL 203,2017/06/24 00:00:00,12016,25
Sonora,TRADICIONAL 203,2017/06/24 00:00:00,10419,26
Tabasco,TRADICIONAL 203,2017/06/24 00:00:00,4634,27
Tamaulipas,TRADICIONAL 203,2017/06/24 00:00:00,18372,28
Veracruz de Ignacio de la Llave,TRADICIONAL 203,2017/06/24 00:00:00,4658,30
Yucatan,TRADICIONAL 203,2017/06/24 00:00:00,1902,31
Zacatecas,TRADICIONAL 203,2017/06/24 00:00:00,2683,32
Oficina Virtual,TRADICIONAL 203,2017/06/24 00:00:00,18698,33
