Estado,Sorteo,Fecha,Venta_Estado,ID
Durango,AVENTURATE 6,2016/09/01 00:00:00,3381,10
Guanajuato,AVENTURATE 6,2016/09/01 00:00:00,3780,11
Guerrero,AVENTURATE 6,2016/09/01 00:00:00,1540,12
Hidalgo,AVENTURATE 6,2016/09/01 00:00:00,1909,13
Jalisco,AVENTURATE 6,2016/09/01 00:00:00,14211,14
Mexico,AVENTURATE 6,2016/09/01 00:00:00,12710,15
Michoacan de Ocampo,AVENTURATE 6,2016/09/01 00:00:00,2683,16
Morelos,AVENTURATE 6,2016/09/01 00:00:00,1030,17
Nayarit,AVENTURATE 6,2016/09/01 00:00:00,2078,18
Nuevo Leon,AVENTURATE 6,2016/09/01 00:00:00,29964,19
Oaxaca,AVENTURATE 6,2016/09/01 00:00:00,673,20
Puebla,AVENTURATE 6,2016/09/01 00:00:00,2674,21
Queretaro,AVENTURATE 6,2016/09/01 00:00:00,3721,22
Quintana Roo,AVENTURATE 6,2016/09/01 00:00:00,1166,23
San Luis Potosi,AVENTURATE 6,2016/09/01 00:00:00,3947,24
Sinaloa,AVENTURATE 6,2016/09/01 00:00:00,6736,25
Sonora,AVENTURATE 6,2016/09/01 00:00:00,7206,26
Tabasco,AVENTURATE 6,2016/09/01 00:00:00,3124,27
Tamaulipas,AVENTURATE 6,2016/09/01 00:00:00,15164,28
Veracruz de Ignacio de la Llave,AVENTURATE 6,2016/09/01 00:00:00,3116,30
Yucatan,AVENTURATE 6,2016/09/01 00:00:00,1485,31
Zacatecas,AVENTURATE 6,2016/09/01 00:00:00,2980,32
Oficina Virtual,AVENTURATE 6,2016/09/01 00:00:00,15072,33
Aguascalientes,AVENTURATE 7,2017/01/19 00:00:00,1248,1
Baja California,AVENTURATE 7,2017/01/19 00:00:00,1892,2
Baja California Sur,AVENTURATE 7,2017/01/19 00:00:00,1898,3
Coahuila de Zaragoza,AVENTURATE 7,2017/01/19 00:00:00,9353,5
Colima,AVENTURATE 7,2017/01/19 00:00:00,3622,6
Chiapas,AVENTURATE 7,2017/01/19 00:00:00,754,7
Chihuahua,AVENTURATE 7,2017/01/19 00:00:00,4198,8
Durango,AVENTURATE 7,2017/01/19 00:00:00,2826,10
Guanajuato,AVENTURATE 7,2017/01/19 00:00:00,4036,11
Guerrero,AVENTURATE 7,2017/01/19 00:00:00,1382,12
Hidalgo,AVENTURATE 7,2017/01/19 00:00:00,1351,13
Jalisco,AVENTURATE 7,2017/01/19 00:00:00,15857,14
Mexico,AVENTURATE 7,2017/01/19 00:00:00,13912,15
Michoacan de Ocampo,AVENTURATE 7,2017/01/19 00:00:00,2597,16
Morelos,AVENTURATE 7,2017/01/19 00:00:00,887,17
Nayarit,AVENTURATE 7,2017/01/19 00:00:00,2515,18
Nuevo Leon,AVENTURATE 7,2017/01/19 00:00:00,31672,19
Oaxaca,AVENTURATE 7,2017/01/19 00:00:00,761,20
Puebla,AVENTURATE 7,2017/01/19 00:00:00,1693,21
Queretaro,AVENTURATE 7,2017/01/19 00:00:00,3804,22
Quintana Roo,AVENTURATE 7,2017/01/19 00:00:00,1311,23
San Luis Potosi,AVENTURATE 7,2017/01/19 00:00:00,3806,24
Sinaloa,AVENTURATE 7,2017/01/19 00:00:00,6632,25
Sonora,AVENTURATE 7,2017/01/19 00:00:00,6352,26
Tabasco,AVENTURATE 7,2017/01/19 00:00:00,3578,27
Tamaulipas,AVENTURATE 7,2017/01/19 00:00:00,14997,28
Veracruz de Ignacio de la Llave,AVENTURATE 7,2017/01/19 00:00:00,2817,30
Yucatan,AVENTURATE 7,2017/01/19 00:00:00,1539,31
Zacatecas,AVENTURATE 7,2017/01/19 00:00:00,2410,32
Oficina Virtual,AVENTURATE 7,2017/01/19 00:00:00,11919,33
Aguascalientes,AVENTURATE 8,2017/04/27 00:00:00,1561,1
Baja California,AVENTURATE 8,2017/04/27 00:00:00,3051,2
Baja California Sur,AVENTURATE 8,2017/04/27 00:00:00,2626,3
Coahuila de Zaragoza,AVENTURATE 8,2017/04/27 00:00:00,14610,5
Colima,AVENTURATE 8,2017/04/27 00:00:00,4606,6
Chiapas,AVENTURATE 8,2017/04/27 00:00:00,813,7
Chihuahua,AVENTURATE 8,2017/04/27 00:00:00,6576,8
Durango,AVENTURATE 8,2017/04/27 00:00:00,3699,10
Guanajuato,AVENTURATE 8,2017/04/27 00:00:00,5132,11
Guerrero,AVENTURATE 8,2017/04/27 00:00:00,1818,12
Hidalgo,AVENTURATE 8,2017/04/27 00:00:00,1426,13
Jalisco,AVENTURATE 8,2017/04/27 00:00:00,20294,14
Mexico,AVENTURATE 8,2017/04/27 00:00:00,16501,15
Michoacan de Ocampo,AVENTURATE 8,2017/04/27 00:00:00,3360,16
Morelos,AVENTURATE 8,2017/04/27 00:00:00,1163,17
Nayarit,AVENTURATE 8,2017/04/27 00:00:00,2937,18
Nuevo Leon,AVENTURATE 8,2017/04/27 00:00:00,39584,19
Oaxaca,AVENTURATE 8,2017/04/27 00:00:00,1110,20
Puebla,AVENTURATE 8,2017/04/27 00:00:00,2838,21
Queretaro,AVENTURATE 8,2017/04/27 00:00:00,4770,22
Quintana Roo,AVENTURATE 8,2017/04/27 00:00:00,1694,23
San Luis Potosi,AVENTURATE 8,2017/04/27 00:00:00,5015,24
Sinaloa,AVENTURATE 8,2017/04/27 00:00:00,9414,25
Sonora,AVENTURATE 8,2017/04/27 00:00:00,9677,26
Tabasco,AVENTURATE 8,2017/04/27 00:00:00,4397,27
Tamaulipas,AVENTURATE 8,2017/04/27 00:00:00,21115,28
Veracruz de Ignacio de la Llave,AVENTURATE 8,2017/04/27 00:00:00,4032,30
Yucatan,AVENTURATE 8,2017/04/27 00:00:00,1850,31
Zacatecas,AVENTURATE 8,2017/04/27 00:00:00,4031,32
Oficina Virtual,AVENTURATE 8,2017/04/27 00:00:00,19518,33
Aguascalientes,AVENTURATE 9,2017/09/21 00:00:00,1778,1
Baja California,AVENTURATE 9,2017/09/21 00:00:00,4236,2
Baja California Sur,AVENTURATE 9,2017/09/21 00:00:00,3315,3
Coahuila de Zaragoza,AVENTURATE 9,2017/09/21 00:00:00,13779,5
Colima,AVENTURATE 9,2017/09/21 00:00:00,4975,6
Chiapas,AVENTURATE 9,2017/09/21 00:00:00,1181,7
Chihuahua,AVENTURATE 9,2017/09/21 00:00:00,8705,8
Durango,AVENTURATE 9,2017/09/21 00:00:00,4909,10
Guanajuato,AVENTURATE 9,2017/09/21 00:00:00,6349,11
Guerrero,AVENTURATE 9,2017/09/21 00:00:00,1955,12
Hidalgo,AVENTURATE 9,2017/09/21 00:00:00,1829,13
Jalisco,AVENTURATE 9,2017/09/21 00:00:00,22533,14
Mexico,AVENTURATE 9,2017/09/21 00:00:00,11360,15
Michoacan de Ocampo,AVENTURATE 9,2017/09/21 00:00:00,4703,16
Morelos,AVENTURATE 9,2017/09/21 00:00:00,1557,17
Nayarit,AVENTURATE 9,2017/09/21 00:00:00,3061,18
Nuevo Leon,AVENTURATE 9,2017/09/21 00:00:00,49863,19
Oaxaca,AVENTURATE 9,2017/09/21 00:00:00,1296,20
Puebla,AVENTURATE 9,2017/09/21 00:00:00,3233,21
Queretaro,AVENTURATE 9,2017/09/21 00:00:00,6672,22
Quintana Roo,AVENTURATE 9,2017/09/21 00:00:00,2041,23
San Luis Potosi,AVENTURATE 9,2017/09/21 00:00:00,5640,24
Sinaloa,AVENTURATE 9,2017/09/21 00:00:00,11595,25
Sonora,AVENTURATE 9,2017/09/21 00:00:00,12297,26
Tabasco,AVENTURATE 9,2017/09/21 00:00:00,5396,27
Tamaulipas,AVENTURATE 9,2017/09/21 00:00:00,22812,28
Veracruz de Ignacio de la Llave,AVENTURATE 9,2017/09/21 00:00:00,5162,30
Yucatan,AVENTURATE 9,2017/09/21 00:00:00,2464,31
Zacatecas,AVENTURATE 9,2017/09/21 00:00:00,4897,32
Oficina Virtual,AVENTURATE 9,2017/09/21 00:00:00,22879,33
Aguascalientes,AVENTURATE 10,2018/01/18 00:00:00,2285,1
Baja California,AVENTURATE 10,2018/01/18 00:00:00,5099,2
Baja California Sur,AVENTURATE 10,2018/01/18 00:00:00,3521,3
Coahuila de Zaragoza,AVENTURATE 10,2018/01/18 00:00:00,15636,5
Colima,AVENTURATE 10,2018/01/18 00:00:00,3622,6
Chiapas,AVENTURATE 10,2018/01/18 00:00:00,1241,7
Chihuahua,AVENTURATE 10,2018/01/18 00:00:00,8848,8
Durango,AVENTURATE 10,2018/01/18 00:00:00,5625,10
Guanajuato,AVENTURATE 10,2018/01/18 00:00:00,6120,11
Guerrero,AVENTURATE 10,2018/01/18 00:00:00,1890,12
Hidalgo,AVENTURATE 10,2018/01/18 00:00:00,2031,13
Jalisco,AVENTURATE 10,2018/01/18 00:00:00,24485,14
Mexico,AVENTURATE 10,2018/01/18 00:00:00,16551,15
Michoacan de Ocampo,AVENTURATE 10,2018/01/18 00:00:00,4827,16
Morelos,AVENTURATE 10,2018/01/18 00:00:00,1674,17
Nayarit,AVENTURATE 10,2018/01/18 00:00:00,2265,18
Nuevo Leon,AVENTURATE 10,2018/01/18 00:00:00,55417,19
Oaxaca,AVENTURATE 10,2018/01/18 00:00:00,1550,20
Puebla,AVENTURATE 10,2018/01/18 00:00:00,3576,21
Queretaro,AVENTURATE 10,2018/01/18 00:00:00,6823,22
Quintana Roo,AVENTURATE 10,2018/01/18 00:00:00,2160,23
San Luis Potosi,AVENTURATE 10,2018/01/18 00:00:00,5271,24
Sinaloa,AVENTURATE 10,2018/01/18 00:00:00,10738,25
Sonora,AVENTURATE 10,2018/01/18 00:00:00,13429,26
Tabasco,AVENTURATE 10,2018/01/18 00:00:00,5688,27
Tamaulipas,AVENTURATE 10,2018/01/18 00:00:00,26232,28
Veracruz de Ignacio de la Llave,AVENTURATE 10,2018/01/18 00:00:00,5776,30
Yucatan,AVENTURATE 10,2018/01/18 00:00:00,2852,31
Zacatecas,AVENTURATE 10,2018/01/18 00:00:00,4458,32
Oficina Virtual,AVENTURATE 10,2018/01/18 00:00:00,30516,33
Aguascalientes,AVENTURATE 11,2018/04/26 00:00:00,2112,1
Baja California,AVENTURATE 11,2018/04/26 00:00:00,3748,2
Baja California Sur,AVENTURATE 11,2018/04/26 00:00:00,3751,3
Coahuila de Zaragoza,AVENTURATE 11,2018/04/26 00:00:00,14147,5
Colima,AVENTURATE 11,2018/04/26 00:00:00,3700,6
Chiapas,AVENTURATE 11,2018/04/26 00:00:00,1197,7
Chihuahua,AVENTURATE 11,2018/04/26 00:00:00,8023,8
Durango,AVENTURATE 11,2018/04/26 00:00:00,4322,10
Guanajuato,AVENTURATE 11,2018/04/26 00:00:00,5559,11
Guerrero,AVENTURATE 11,2018/04/26 00:00:00,1609,12
Hidalgo,AVENTURATE 11,2018/04/26 00:00:00,1679,13
Jalisco,AVENTURATE 11,2018/04/26 00:00:00,21856,14
Mexico,AVENTURATE 11,2018/04/26 00:00:00,14941,15
Michoacan de Ocampo,AVENTURATE 11,2018/04/26 00:00:00,4268,16
Morelos,AVENTURATE 11,2018/04/26 00:00:00,1532,17
Nayarit,AVENTURATE 11,2018/04/26 00:00:00,2343,18
Nuevo Leon,AVENTURATE 11,2018/04/26 00:00:00,50484,19
Oaxaca,AVENTURATE 11,2018/04/26 00:00:00,1469,20
Puebla,AVENTURATE 11,2018/04/26 00:00:00,3005,21
Queretaro,AVENTURATE 11,2018/04/26 00:00:00,6300,22
Quintana Roo,AVENTURATE 11,2018/04/26 00:00:00,1915,23
San Luis Potosi,AVENTURATE 11,2018/04/26 00:00:00,5244,24
Sinaloa,AVENTURATE 11,2018/04/26 00:00:00,11058,25
Sonora,AVENTURATE 11,2018/04/26 00:00:00,12575,26
Tabasco,AVENTURATE 11,2018/04/26 00:00:00,5091,27
Tamaulipas,AVENTURATE 11,2018/04/26 00:00:00,25116,28
Veracruz de Ignacio de la Llave,AVENTURATE 11,2018/04/26 00:00:00,5469,30
Yucatan,AVENTURATE 11,2018/04/26 00:00:00,2805,31
Zacatecas,AVENTURATE 11,2018/04/26 00:00:00,3952,32
Oficina Virtual,AVENTURATE 11,2018/04/26 00:00:00,27410,33
Aguascalientes,AVENTURATE 12,2018/09/06 00:00:00,1563,1
Baja California,AVENTURATE 12,2018/09/06 00:00:00,2429,2
Baja California Sur,AVENTURATE 12,2018/09/06 00:00:00,2439,3
Coahuila de Zaragoza,AVENTURATE 12,2018/09/06 00:00:00,9084,5
Colima,AVENTURATE 12,2018/09/06 00:00:00,2400,6
Chiapas,AVENTURATE 12,2018/09/06 00:00:00,131,7
Chihuahua,AVENTURATE 12,2018/09/06 00:00:00,4926,8
Durango,AVENTURATE 12,2018/09/06 00:00:00,2755,10
Guanajuato,AVENTURATE 12,2018/09/06 00:00:00,3590,11
Guerrero,AVENTURATE 12,2018/09/06 00:00:00,886,12
Hidalgo,AVENTURATE 12,2018/09/06 00:00:00,1216,13
Jalisco,AVENTURATE 12,2018/09/06 00:00:00,14081,14
Mexico,AVENTURATE 12,2018/09/06 00:00:00,10200,15
Michoacan de Ocampo,AVENTURATE 12,2018/09/06 00:00:00,2894,16
Morelos,AVENTURATE 12,2018/09/06 00:00:00,1009,17
Nayarit,AVENTURATE 12,2018/09/06 00:00:00,1508,18
Nuevo Leon,AVENTURATE 12,2018/09/06 00:00:00,34022,19
Oaxaca,AVENTURATE 12,2018/09/06 00:00:00,892,20
