Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias<C1>,6.596234652775,6.79230099408,6.53213371334,6.433811499014,6.277088686082,6.410309979453,5.444721761118,5.501713834215,5.453156734867,4.728428688802,4.812830100827,4.777907312995,4.587571780352,4.540185309326,4.567296665061,4.616308116763
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades primarias|11---Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza<C1>",6.596234652775,6.79230099408,6.53213371334,6.433811499014,6.277088686082,6.410309979453,5.444721761118,5.501713834215,5.453156734867,4.728428688802,4.812830100827,4.777907312995,4.587571780352,4.540185309326,4.567296665061,4.616308116763
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias<C1>,28.551987932605,26.619604130162,24.856549408568,25.472961324161,26.952126095934,26.357477254681,26.962096566375,26.79871731179,28.356995611654,27.99581521106,27.738985456591,26.406625933043,26.462531176676,25.120777166726,23.743120064621,22.816028387604
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería<C1>,2.628167716944,2.416139728838,2.518725560344,2.503569888156,2.537691368756,2.207644004905,2.147616188492,2.27045072519,2.018884104672,2.0863474381,2.054819228967,1.854783980455,1.578406662196,1.542376807606,1.536112365617,1.532968814217
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-1---Minería petrolera<C1>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|21---Minería|21-2---Minería no petrolera<C1>,2.628167716944,2.416139728838,2.518725560344,2.503569888156,2.537691368756,2.207644004905,2.147616188492,2.27045072519,2.018884104672,2.0863474381,2.054819228967,1.854783980455,1.578406662196,1.542376807606,1.536112365617,1.532968814217
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|22---Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final<C1>",4.575877641791,5.064388319264,5.706055323399,5.134080621878,5.344199657484,5.316510937667,4.942506497974,4.053028082752,4.517036102429,5.434719785354,6.247210887357,7.230666840342,7.744781506736,6.912623179696,7.113762392939,7.653539874022
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|23---Construcción<C1>,16.651625730645,14.091951814474,11.621291464138,13.242333899989,14.781369229593,14.526837286204,15.345541807451,15.844948038824,17.368825270721,16.195049918606,15.070002611831,13.097449709511,12.861602379545,12.597210489615,11.163930464046,9.733777603108
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras<C1>,4.696316843225,5.047124267585,5.010477060688,4.592976914137,4.288865840101,4.306485025904,4.526432072458,4.630290465025,4.452250133831,4.279698069,4.366952728436,4.223725402736,4.2777406282,4.068566689809,3.929314842019,3.895742096256
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,3.328909586519,3.510670869926,3.587088496702,3.237709158567,3.013691986353,2.790931299663,3.096851540089,3.190412870847,3.023917149826,2.976363373437,3.21888237381,3.209767933851,3.257763698166,3.008828196292,2.877085694125,2.888530830664
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.041315206651,0.046492279979,0.053114520165,0.050896282332,0.050274506597,0.052399052979,0.054988495282,0.049709619862,0.051643659116,0.051305336567,0.053351230616,0.053637013607,0.058236486192,0.064480825796,0.046801623564,0.038522698228
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",0.032238380947,0.035048798013,0.033480240776,0.030161117333,0.027664135442,0.02642054205,0.028626406041,0.028617363964,0.025283993221,0.023280243782,0.021966159164,0.023640538825,0.030535537517,0.029518591817,0.028909311389,0.026489615863
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",0.086821875268,0.091121564634,0.092758125617,0.088152024605,0.076052832088,0.069777588812,0.076383738255,0.083932396576,0.076572885028,0.077594185722,0.080173965155,0.069272872176,0.064510753689,0.065432400928,0.071944731245,0.06404385862
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.061219852736,0.065119283106,0.05423087003,0.055648550534,0.061611294325,0.061648775826,0.054724259584,0.050848752914,0.040152382111,0.039251034421,0.039902673354,0.046726160475,0.039239602405,0.03656696712,0.033282355573,0.029288609424
