Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,77.20514403681,80.872086831943,83.496822041099,87.367094224729,90.21102247139,91.328418597108,86.626644204493,91.106792939959,95.435566769851,97.824861899586,100,102.037059729747,107.082137081415,111.23248866834,115.233103838169,120.020576312428
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Sinaloa<C1>,80.498633405196,82.170557864672,84.783995501424,86.480308229932,86.963170985231,88.736227044412,85.061071977494,90.07539246749,94.133299815616,98.160039476306,100,102.487720440621,107.493647967848,113.288230228089,116.229770498591,117.910711772269
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Sonora<C1>,74.263874747624,77.107854471888,79.496783588521,81.758489870243,83.29516868029,85.350807955487,82.770634554066,88.718732868364,93.519954808669,97.675202734227,100,102.640812133449,103.744173841357,107.202730017715,109.239658709264,112.03559375306
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tabasco<C1>,73.16716688657,75.935912259987,79.396251613878,82.963958560599,84.919762960895,87.536522949701,84.033143819899,87.645902512765,92.226846166134,96.726678589952,100,101.261505336464,104.60124482753,103.085074434614,102.961674807479,103.114678619255
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tamaulipas<C1>,79.226211871218,81.66913727508,84.399796971708,87.040679342218,89.252231580488,90.121316378721,85.231892749184,89.619768508897,94.222511983285,97.496859495104,100,100.873193999733,105.155961248631,106.461286312248,108.956296411083,110.773854948035
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Tlaxcala<C1>,77.429911527359,79.327363748346,80.61368147125,85.869809699778,86.681503626272,90.442944057088,88.000927008377,91.058232585325,94.906228385226,97.033837053764,100,101.490587252925,105.240460581748,107.141405397187,109.921248502499,111.332447425489
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,79.561201358324,82.471241630531,84.197995530318,87.706981268196,89.988783844357,90.619274788892,88.067346862774,92.905423996521,96.272836212931,99.956131280367,100,104.042765064269,108.188797329199,108.427901094273,111.469026920813,113.287689236635
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Yucatán<C1>,74.226760403546,77.610406503784,80.794328008664,83.257954098825,85.171719216451,87.605715019871,84.361127187174,88.283025153972,91.711700613045,96.42255378888,100,101.758174654799,107.026460215684,110.335701606681,113.498207148761,117.817890994152
Valores constantes|Índice de volumen físico base 2013=100|B.1bV---Valor agregado bruto|Zacatecas<C1>,76.190311798608,77.966674825296,80.641674435864,83.899958256658,86.36318246091,87.763642249408,86.390831827687,91.534122359642,94.805894722397,97.877160299919,100,103.702622426587,105.853344837401,108.2116878708,112.236785337624,112.903065578292
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,NA,4.043964493385,2.698556833138,4.416400290009,3.058093201572,2.343987791364,-4.120992461588,5.651090157272,4.488542747584,4.080008582725,2.176107808912,2.663344162354,4.250784371012,3.870337675886,3.083604760904,2.891658116404
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Aguascalientes<C1>,NA,3.897806610374,2.167617307891,3.754089830232,5.075858465016,3.658054681993,-5.849162572862,4.540709170369,5.48064939394,4.52689023454,2.359038877989,5.041252941954,5.554513454984,11.657358055662,5.317770011032,3.791162981811
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Baja California<C1>,NA,3.969428590273,4.056644822729,3.685368273434,2.723579220646,0.542465602641,-6.089366840555,5.68755049766,5.389099952687,3.955636335856,2.88504423881,0.809871431969,5.442979660573,5.248061833664,2.953002668361,1.421571466689
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Baja California Sur<C1>,NA,7.96110050875,9.924644056366,8.111675714502,9.067869671945,-0.669890186643,-4.758456817778,8.633305340997,5.151141664293,5.418141987152,-0.2193314479,0.789160246773,6.241359970201,6.649677377796,5.124141122973,7.17688900025
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Campeche<C1>,NA,5.282143256309,4.058640771679,3.583745209662,1.530039719657,4.127396263909,-4.367494898266,3.941292312516,5.589147674357,3.396126551099,2.213353574788,3.190092519035,1.029936851883,-4.17294377094,-1.434805661185,2.443978294326
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,NA,4.330660141108,3.701995685173,4.593854361116,3.509688422408,1.71403392611,-5.01648244814,7.563442564375,5.172420717589,4.166335101071,1.477395200461,0.932876002737,4.185636518986,3.339228411646,4.217211297488,2.97855656045
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Colima<C1>,NA,2.770017189589,3.743817918826,5.461478625144,4.807334270826,2.544896870984,-2.655194249099,7.42257468384,4.868258471594,4.64008461958,1.233123429365,4.577471207104,1.959655162746,8.265486109483,6.214024428988,3.764470734222
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Chiapas<C1>,NA,3.236508486756,3.140137123098,1.180423739603,4.718504122904,0.462537653339,-1.678750644195,2.959854796275,4.786205430196,2.869164069736,2.692645199653,5.108579525206,0.939120587106,3.142889520363,1.710504107384,0.238072898294
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Chihuahua<C1>,NA,3.444523765717,3.592691416804,6.481473505863,3.459506717124,3.583709796588,-8.040746680904,5.530478529238,4.408118599111,4.16084132633,1.290204086831,1.446201413896,5.397932228247,4.095933564026,2.94158525643,3.10197030215
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Ciudad de México<C1>,NA,4.576235848744,1.504509585478,4.450665905144,2.158059123911,2.5860807044,-3.669444473369,4.778233070296,3.377710598089,4.05544688114,2.398331109652,1.948714283291,5.188038292392,4.411616795724,3.141158369437,2.926246310307
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Durango<C1>,NA,4.199158157133,2.983556662379,3.200191113829,2.163199617433,2.201520403199,-3.21577703095,6.025638863878,3.509220561016,3.471389896756,2.217312863363,2.005667951756,3.054163645039,4.454159262534,-2.065730153904,1.993167856187
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Guanajuato<C1>,NA,2.67448442805,2.298886783058,4.508372540084,3.444410879831,3.324493778072,-3.778196230656,7.790731232937,5.654316436253,3.943406514934,2.131934198268,1.401368640449,5.344456405216,4.535736334485,5.216385066722,4.050586107016
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Guerrero<C1>,NA,5.315762731334,1.06725290649,0.891947728975,1.235322940102,0.045615125507,-2.119345911096,5.12186045556,2.049794572057,1.708418909585,-0.624812403722,3.2415855957,3.962071833664,1.354702868343,0.296988266966,2.486550645709
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Hidalgo<C1>,NA,2.708142078197,1.72746324725,4.815524930148,2.172267089546,4.412553327064,-5.250170981304,8.392515850211,5.898961239599,3.654634146782,5.126362681112,2.959356867117,4.801125248766,4.989118851326,2.450001682612,4.153523479581
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Jalisco<C1>,NA,3.948030248262,2.360087386414,4.120058534382,2.904989624176,2.775168832659,-3.936075922341,5.575542089556,4.199768769406,4.172091854071,2.201306108716,2.637916249162,3.403282035318,6.483517537324,2.386212080512,3.876941342752
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|México<C1>,NA,2.971688609324,3.430396025325,5.617635517839,3.550545954811,2.29679055845,-3.677247788952,6.437985235361,5.373643350723,5.306422374642,2.082525871227,4.918466998545,2.93846511014,4.040484672681,3.185098133886,3.246431849183
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,NA,1.980885226294,2.797762963098,3.665881472732,1.113642521135,2.086049057732,-1.212139425153,4.136280973806,3.857117835147,3.482579896632,2.032138370452,5.353584765446,4.135487299052,3.817166627843,4.186132564505,2.296249184371
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Morelos<C1>,NA,2.724950703779,2.260480116082,3.033961767714,-0.128302402028,-0.316701259109,-5.086091795389,4.106620478071,4.455573410548,4.232999674292,4.035330402423,0.280031703497,4.349954965205,2.992723290028,2.419602857788,0.825863860855
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Nayarit<C1>,NA,3.608668725735,3.607228037017,4.746757470131,-0.984776393099,5.819051276622,-2.495531228641,7.168966844594,2.916146121291,-0.504351379573,4.049494649921,3.65714787971,7.607402839839,4.005509567089,4.146783471623,0.764653546806
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Nuevo León<C1>,NA,5.499460999145,3.137007735285,6.588466405039,5.825529261813,2.967734776257,-6.21275668955,7.026021045693,5.872701074802,5.257378067662,2.11122309882,3.37374960876,3.535032694499,4.032519938714,4.191152457293,3.41529021201
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Oaxaca<C1>,NA,4.535678464503,3.917234243934,1.871876344881,1.203501985485,1.702533995876,-3.256317062059,3.359745304245,2.615799567434,1.672632189309,0.589026046684,1.65175198808,4.94897501544,0.617573085003,2.737460463414,2.601979559926
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Puebla<C1>,NA,3.288807606575,1.790254796292,3.946019322476,3.390625208452,1.000590483123,-4.08818623303,6.590335815923,4.737066438342,3.833486360262,2.720438783289,1.306626016195,2.604451712632,2.751356507256,2.857477048305,2.840649487557
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Querétaro<C1>,NA,7.016039242268,7.079919002318,7.769234935049,6.275251483503,4.965571182158,-2.745090991959,4.881686485555,7.427158209028,2.352196645446,1.417370634107,5.16114265591,7.135654000752,3.584814883771,2.155153267742,3.90454744315
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Quintana Roo<C1>,NA,8.234023977141,1.354338964048,5.730984438384,13.081009852,5.438835320104,-8.576835297326,7.912342342839,5.855245422784,5.6914344615,3.9893462167,2.932441765376,6.506464605527,5.204826731646,6.300232176158,4.909801684075
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,NA,4.749609421601,3.245539112414,4.63523292147,3.255148030156,1.238647002446,-5.148205197067,5.171790707822,4.751318414583,2.503568858659,2.22350234713,2.037059729747,4.94435782943,3.875858009604,3.596624707155,4.154598214227
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Sinaloa<C1>,NA,2.076960053546,3.180503704327,2.000746389075,0.558349947152,2.038858564026,-4.141662530996,5.894965080293,4.505012120364,4.277699462972,1.874449657427,2.487720440621,4.884416889853,5.390627604316,2.596510038668,1.446222655751
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Sonora<C1>,NA,3.829560111062,3.098165722539,2.845028666101,1.879534238568,2.467897367598,-3.023021648215,7.186242254084,5.411734123197,4.44316716583,2.380130473953,2.640812133449,1.074973672727,3.333735330185,1.900071659754,2.559450548301
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tabasco<C1>,NA,3.784136370497,4.556920765031,4.493545821372,2.357414513758,3.08144994471,-4.002191327402,4.299206870814,5.226648961373,4.87909172966,3.384093672775,1.261505336464,3.298133362692,-1.449476433494,-0.119706589738,0.148602683535
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tamaulipas<C1>,NA,3.083481269852,3.343563783992,3.129015074995,2.540826030981,0.973740132704,-5.425379728132,5.148161818517,5.135857357109,3.475122285426,2.567406291709,0.873193999733,4.245694102746,1.241322934161,2.343584400734,1.668153743125
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Tlaxcala<C1>,NA,2.450541636376,1.621530909542,6.520144140052,0.945261121845,4.339380690757,-2.700063641415,3.474174285297,4.225862605334,2.241800885714,3.056833612168,1.490587252925,3.694799124059,1.806287054362,2.59455538688,1.283827232874
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,NA,3.65761228152,2.093764887793,4.167540706613,2.601620239538,0.700632809557,-2.816098376491,5.493610635603,3.624559333087,3.825892341314,0.043887972725,4.042765064269,3.984930871809,0.221006029253,2.804744715934,1.631540496997
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Yucatán<C1>,NA,4.558525903383,4.102441474424,3.049256242216,2.298597339246,2.857751171177,-3.703625764553,4.64893973986,3.883731275739,5.13658905499,3.710175753022,1.758174654799,5.17726028278,3.091984341375,2.86625769903,3.80594896951
Valores constantes|Variación porcentual anual|B.1bV---Valor agregado bruto|Zacatecas<C1>,NA,2.331481503033,3.43095254038,4.040446634557,2.93590635256,1.621593540896,-1.564213137166,5.953514306025,3.574374537509,3.239530185876,2.168881579294,3.702622426587,2.073932520208,2.227934352969,3.719651311261,0.593638029336
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,NA,4.043964493385,2.698556833138,4.416400290009,3.058093201572,2.343987791364,-4.120992461588,5.651090157272,4.488542747584,4.080008582725,2.176107808912,2.663344162354,4.250784371012,3.870337675886,3.083604760904,2.891658116404
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Aguascalientes<C1>,NA,0.037378479892,0.020757423443,0.03576386276,0.048049156809,0.035305901427,-0.05717833737,0.043587521458,0.052057339325,0.04340642652,0.022716942478,0.048632893868,0.054825441029,0.11650209197,0.057129305244,0.041611551113
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Baja California<C1>,NA,0.114578257541,0.117011883433,0.10770834566,0.079041874712,0.015691969873,-0.173047207226,0.158310223151,0.150054762517,0.111090501177,0.08092706075,0.022874955792,0.150962315746,0.147220781853,0.083937606174,0.040356255063
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Baja California Sur<C1>,NA,0.053976068529,0.069822194137,0.061082929853,0.070699840022,-0.005527535048,-0.038107688123,0.068679395607,0.04213489038,0.044599919672,-0.001828658623,0.006425308538,0.049889188317,0.054167909126,0.042857869848,0.061215104105
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Campeche<C1>,NA,0.04021071782,0.031264399354,0.027971799667,0.011847013446,0.031484354678,-0.033896410429,0.030509982032,0.04256601754,0.026136769761,0.016922159861,0.024398692758,0.007917653143,-0.031088456292,-0.009861575632,0.016061442903
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,NA,0.105936626545,0.090807769379,0.113785545421,0.087079491912,0.042713546813,-0.124240749404,0.185570525476,0.12920342832,0.104753270336,0.037176640491,0.023314029149,0.102842391353,0.081994609172,0.103023952037,0.073564543865
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Colima<C1>,NA,0.016203747279,0.021632028804,0.031877970037,0.028340654789,0.015257568163,-0.015950090348,0.045270019089,0.030189179137,0.028878787853,0.007715967184,0.028378061483,0.012375406951,0.051050177943,0.040003712999,0.024970287295
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Chiapas<C1>,NA,0.062232754022,0.059911100806,0.022618301296,0.087610097899,0.008726462896,-0.031089887829,0.056211765703,0.088581309306,0.053252694231,0.049395026706,0.094187709773,0.017727120615,0.057441548474,0.03104337247,0.004263153234
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Chihuahua<C1>,NA,0.091340046046,0.094720191941,0.172369800476,0.093822487318,0.097569459379,-0.221567761874,0.146165476803,0.116369533237,0.109757137946,0.034060199893,0.037847365308,0.139590120073,0.107086054195,0.0770732502,0.081163566756
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Ciudad de México<C1>,NA,1.12354717185,0.371273527618,1.085537964388,0.526533316908,0.62545363712,-0.889568654967,1.163823215199,0.815904278526,0.969200722177,0.573035663987,0.46662091711,1.233631793603,1.058442297404,0.757559093333,0.706122368403
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Durango<C1>,NA,0.047712014685,0.033950574796,0.036516765458,0.024396345161,0.024612927342,-0.035902236657,0.067907808246,0.039688455174,0.038892628088,0.024696979174,0.022348634803,0.033813736512,0.048747552344,-0.022734994638,0.020840600781
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Guanajuato<C1>,NA,0.095175544692,0.080732521949,0.15770929808,0.120596533123,0.116834289796,-0.134051062318,0.277404777167,0.205410792694,0.144854926755,0.078210514669,0.051387317099,0.193568862574,0.166001539315,0.192135314952,0.152282220886
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Guerrero<C1>,NA,0.101747783992,0.020677746307,0.017006752099,0.022758847866,0.000825521921,-0.037493614188,0.092503152732,0.036834789079,0.029983731547,-0.010715946517,0.054071322904,0.066461647917,0.022661487064,0.004847703043,0.039490471632
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Hidalgo<C1>,NA,0.037666596406,0.023718200214,0.065492327375,0.029656295998,0.059723407646,-0.072496733801,0.114522829265,0.082584920494,0.051855180222,0.072440088553,0.043025830985,0.070004406368,0.073129533962,0.036298450456,0.061159052118
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Jalisco<C1>,NA,0.259418110925,0.154934193859,0.269580755709,0.1895377725,0.180798543126,-0.257510444143,0.365472978603,0.275095123042,0.272526949987,0.143919651596,0.172507409769,0.222503635799,0.420440799138,0.158633186674,0.255991837463
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|México<C1>,NA,0.275350161735,0.314577197652,0.518824389391,0.331687944785,0.215588819093,-0.345006604028,0.606819938806,0.510271564471,0.508156713914,0.201777992538,0.476118663382,0.290698313302,0.394687883407,0.311640556579,0.317954392052
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Michoacán de Ocampo<C1>,NA,0.052428176378,0.072580213396,0.095193011488,0.028710422254,0.052765000364,-0.030582857835,0.107526515281,0.098831759427,0.088695646303,0.051458179579,0.135373438128,0.107312268974,0.098942579123,0.108450788597,0.060125551385
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Morelos<C1>,NA,0.036195291177,0.029645116762,0.039619233074,-0.001653264841,-0.003954738411,-0.061860330013,0.049444607453,0.052861847116,0.050205339819,0.047931243067,0.003386712189,0.051387194158,0.035387480446,0.028368878416,0.00962055285
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Nayarit<C1>,NA,0.027370429532,0.027245036636,0.036169004425,-0.007527469634,0.042734973298,-0.018949414261,0.055359268605,0.022842209731,-0.003891140288,0.029866289702,0.027467149151,0.057688776279,0.031352740217,0.032500788096,0.006054851622
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Nuevo León<C1>,NA,0.360626443855,0.208586588443,0.439952017662,0.397098148968,0.207728414711,-0.437516050706,0.483993280036,0.409810591025,0.371731883676,0.150966282387,0.241092001273,0.254365526501,0.288170376887,0.299974159369,0.2470695613
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Oaxaca<C1>,NA,0.082334923475,0.071444535819,0.034545371813,0.021669311601,0.030102844432,-0.057214731631,0.059564379591,0.04536931043,0.028490739796,0.009801093299,0.027057402983,0.080270504831,0.010083886842,0.04329819111,0.041017105271
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Puebla<C1>,NA,0.108984469111,0.058894855736,0.128665936284,0.110058428943,0.032583591256,-0.131381685877,0.211865517389,0.153640621974,0.124629897108,0.088234288647,0.042604673655,0.083800130783,0.087128879122,0.089514632004,0.088792278163
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Querétaro<C1>,NA,0.114770064434,0.119123346733,0.136298333155,0.113623851951,0.092716626963,-0.052568997448,0.094826743478,0.143221858987,0.046634322606,0.027634100036,0.099878209866,0.141448569431,0.073027461411,0.043782663875,0.078607757574
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Quintana Roo<C1>,NA,0.136652323844,0.023381866704,0.097647030594,0.225686012578,0.102961972828,-0.167277019394,0.147145505588,0.111220328117,0.109522795153,0.077957334432,0.058320889845,0.129740834004,0.106031407839,0.129995682262,0.104467436986
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|San Luis Potosí<C1>,NA,0.087504028031,0.060199448841,0.086433915234,0.060826467431,0.023189907624,-0.095343547889,0.094754190282,0.086655654169,0.045775504064,0.040038966039,0.036698678546,0.088531757421,0.069861324205,0.064831662541,0.075262228621
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Sinaloa<C1>,NA,0.051001030815,0.076622717682,0.048426935859,0.013201888513,0.047038419063,-0.095267239898,0.13556777657,0.103841876854,0.098617793692,0.043295515591,0.057291029975,0.112293393506,0.124684494766,0.06093594803,0.033780161195
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Sonora<C1>,NA,0.095369522281,0.076996233855,0.070980341204,0.046186628816,0.059951211716,-0.0735254375,0.176784152894,0.135065052888,0.111871504825,0.060136798717,0.066856459014,0.027208735886,0.081809918539,0.046386906213,0.061767078876
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tabasco<C1>,NA,0.060751394347,0.072975155999,0.07326240536,0.038463491212,0.049935001838,-0.06532297912,0.070257755147,0.084321103561,0.079270025935,0.055403090509,0.020897054585,0.053888137072,-0.023466550723,-0.001838753663,0.002211680337
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tamaulipas<C1>,NA,0.089098610106,0.095721922332,0.09014228195,0.072294952338,0.02756708366,-0.151538855452,0.141839479232,0.140826891813,0.095879314585,0.070423573605,0.024043307957,0.114866276269,0.033582066341,0.061797300272,0.043671288366
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Tlaxcala<C1>,NA,0.014173215023,0.00923482964,0.036743645788,0.005434253245,0.024435411811,-0.01550071855,0.020240370489,0.024112387584,0.012759354545,0.017090888474,0.008405773487,0.020597830042,0.010016016957,0.014101141907,0.006944366565
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Veracruz de Ignacio de la Llave<C1>,NA,0.176718896845,0.100785381919,0.199427186667,0.124197286893,0.033298969464,-0.131691580292,0.260398730648,0.171549072862,0.179580812121,0.002054996372,0.185346867031,0.18515012772,0.010242321927,0.125416550952,0.072758365567
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Yucatán<C1>,NA,0.068756545535,0.062183415924,0.046851411249,0.034855217718,0.043014698952,-0.056026599341,0.070632973317,0.058447184317,0.076854289393,0.05607565252,0.026972045481,0.078723749117,0.047433544391,0.043641219895,0.057826639102
Valores constantes|Contribución a la variación nacional|B.1bV---Valor agregado bruto|Zacatecas<C1>,NA,0.018755046637,0.027145213025,0.032195420536,0.023309900338,0.01285952757,-0.012316933677,0.048129301935,0.028978613487,0.026034139208,0.017289233196,0.029513356467,0.016698525714,0.017563918518,0.028860197287,0.004634364954
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Estados Unidos Mexicanos<C1>,4754680.289,5243010.387,5738131.365000001,6268666.926,6808726.285000001,7353294.845,7385452.373999997,8068321.862,8786508.836,9490217.455999997,9946401.736000001,10518294.408,11317458.427,12251909.452999998,13209153.788000003,14127538.103999998
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Aguascalientes<C1>,46628.965,51641.66500000001,56114.153999999995,61831.37399999999,68514.57400000001,73992.70599999999,72195.13500000001,78079.819,85330.863,92388.72,95952.793,102399.63000000002,112714.38299999999,132584.434,147371.905,159060.803
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California<C1>,145573.63399999996,161333.29499999995,177210.18599999993,193697.97900000002,207119.96399999998,218586.05700000003,213443.22199999995,229539.97599999997,248868.901,268646.344,280937.80199999997,291970.12700000004,319499.425,351647.6270000001,381132.965,402760.579
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Baja California Sur<C1>,32226.772,37195.823000000004,43741.604999999996,48757.406,56054.973,59528.646,59494.05199999999,66317.27,73117.383,79326.756,80983.172,84601.613,93994.83800000002,105316.001,117217.247,130764.02400000002
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Campeche<C1>,34559.866,38375.539000000004,42453.07299999999,46458.94899999999,51006.26700000001,56004.812,54925.41099999999,60205.34100000001,66555.795,72406.343,76072.77799999999,82712.733,87317.665,87962.047,90075.238,95713.837
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Coahuila de Zaragoza<C1>,118137.268,129642.10500000001,142647.55500000002,155043.50799999994,168846.30299999999,182435.019,180060.693,201443.991,220262.21,239422.181,248576.123,257931.39799999996,279407.4369999999,301016.027,334802.14200000005,358496.8400000001
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Colima<C1>,26982.264000000003,29417.051000000007,32591.592999999993,36168.337999999996,39958.253,43003.057,43664.45,48717.613,53310.193,58610.42,61662.77999999999,66446.035,70212.624,79567.515,88476.692,95730.422
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Chiapas<C1>,88142.50099999999,95173.02399999999,104871.00200000001,112435.15600000002,124313.20400000001,131141.81900000002,135663.201,145077.42,160244.05400000003,172523.95299999995,183383.42299999998,202296.58299999996,215162.92600000004,231297.859,244544.23700000002,253921.76499999996
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Chihuahua<C1>,129523.874,142010.072,155559.043,173035.56699999998,188144.122,204445.97800000003,196635.19099999996,215518.397,232924.226,251447.07899999997,260299.21999999997,270272.88800000004,294020.169,320007.37799999997,346919.8600000001,372200.3450000001
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Ciudad de México<C1>,1210346.605,1332864.9289999995,1451677.492,1575915.1439999996,1694197.6409999998,1813340.422,1838160.993,1983177.0089999998,2122727.845,2263975.528,2381672.4390000002,2482437.139,2647370.8739999994,2848771.333,3054628.4519999996,3256817.58
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Durango<C1>,50719.92199999999,55904.424999999996,61572.05499999999,67017.768,72562.271,79808.281,80686.437,88793.506,97041.46499999998,105590.39499999999,110830.15999999996,116711.28700000001,126864.59699999998,139167.706,144524.88700000002,152272.617
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Guanajuato<C1>,166008.39100000006,181697.21600000004,198012.26000000004,218428.55099999995,238159.04200000002,260532.689,259879.68399999998,288202.4110000001,320261.2529999999,347618.839,364728.3699999999,381781.3319999999,417167.958,457163.6370000001,511527.9360000002,559635.408
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Guerrero<C1>,88560.59700000001,99295.59700000001,105361.152,111789.17399999998,119814.33,126433.54800000001,129129.31,141010.77099999998,150652.123,161983.60800000004,165911.12099999998,177215.70799999998,193873.70599999998,203934.022,213606.67699999997,228382.858
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Hidalgo<C1>,57999.643,64427.37799999999,71263.73200000002,79469.88799999999,87415.106,97286.789,97874.254,110348.01600000002,121828.31799999998,133004.20500000002,144609.86600000004,154180.94,168908.959,184702.545,200353.32300000003,220031.07100000003
Valores corrientes|Millones de pesos|B.1bV---Valor agregado bruto|Jalisco<C1>,303748.35599999997,335518.557,367341.959,399268.967,435517.243,474582.2839999999,477240.71499999997,525411.0349999999,570726.76,619292.168,650448.2470000002,691216.6720000001,743340.62,839486.0409999999,904079.7679999999,979479.9989999998
