Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,6.009406861203,6.18343324003,6.440942584748,6.6326113061,6.241536035676,6.214065204209,5.984266986965,5.830839014826,5.865696786863,5.995884629684,5.631734275157,6.063446779161,5.953936926372,5.85301010251,6.190955162218,6.623786595594
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,13.239159798498,13.435685079263,13.626888592726,13.608737447174,13.312750653066,12.887840546969,11.353854560079,12.102255105524,13.232070224517,12.774503490385,13.163529510662,12.448210453875,12.468173332678,11.82390276815,12.609117377327,12.456179472176
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",6.263682893141,6.396199646214,6.184257755346,6.312845568435,6.7972916268,6.429746447691,6.488350683146,6.545203540756,6.340268848848,6.262952611937,6.383116154966,6.59110058584,6.848780575228,6.967844110635,7.077711219664,6.909732899933
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,0.700825650049,0.727919179669,0.741660959654,0.712132253601,0.675645952256,0.686587401574,0.763982151598,0.762824975818,0.751877243506,0.899579602456,0.925080715629,0.914884845104,1.030032001455,1.191505495122,1.22583454483,1.304601770996
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,0.867159961013,1.024397616849,1.085731875258,1.347178298117,1.47279031454,1.772658927214,2.179455456836,2.371959415508,2.440174752572,2.648203336045,2.861835430749,3.048713134808,3.51446582457,3.723228096956,3.923795747681,4.023826858036
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,13.322895825103,12.950862059205,12.85688297988,13.329207532253,13.151756550811,13.601564380947,14.797722104687,14.51332774594,14.315236110926,14.178724811346,13.808739166745,13.706688004425,13.537143916735,13.339681086693,13.388333686932,13.325653276813
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1.793447852648,1.884964865179,1.953634831083,1.96242845778,1.935808865338,1.957639532512,1.946788392888,1.998811389223,2.179715652873,2.050595079165,1.920608504182,1.915541187613,1.813829064148,1.957171303415,1.92551847993,1.960709509864
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0.186128668733,0.187536001847,0.19667749712,0.191994332425,0.185189483991,0.1890536315,0.195884407744,0.18970956874,0.187217565637,0.188878699946,0.179088304574,0.177357815731,0.182309010822,0.192719426162,0.200793378966,0.204828844923
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación<C1>",7.580351572754,7.596135808454,7.6182778787,7.049072746576,6.598782604345,6.505178952068,6.688984332597,6.400014352123,6.307528863487,6.268821606221,6.408763740521,6.368904838759,6.384857131889,6.431627416668,6.883071210266,7.195642125094
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|61---Servicios educativos<C1>,3.56874036195,3.369373724808,3.356978335704,3.350394296381,3.233743820559,3.225943146554,3.623495305527,3.523925852119,3.524627195874,3.251295811122,3.086762851705,2.929858314979,3.048092401897,2.766084802691,2.706902089624,2.62490466796
