Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|311---Industria alimentaria<C1>,3.931099527028,3.346915682749,3.440666073135,3.211709015774,3.185820787712,2.868487232393,2.959780186475,3.103367395627,2.90167854039,2.98248164503,2.96127206979,2.975160140025,3.01821789199,2.900413195313,2.829495187476,2.80274938252
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|312---Industria de las bebidas y del tabaco<C1>,0.878200221704,0.807208408914,0.909166268998,0.890921488935,1.002054250701,0.920734958551,0.999322893189,0.907442562358,1.032347620992,1.072534386781,1.097710019118,1.003975849574,0.899017365865,0.871620364963,0.931715991011,0.963704462514
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|313-314---Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir<C1>",0.023110117212,0.020472051483,0.018679548665,0.017961129291,0.018606979705,0.016451851197,0.018116156799,0.019270625833,0.01777483671,0.016955320474,0.017106469821,0.017236524589,0.018388168608,0.017006060989,0.014717650223,0.017188810345
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|315-316---Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos<C1>",0.111184261322,0.093767889017,0.089931469586,0.084406674644,0.079879770419,0.074023665394,0.079723987803,0.07718885788,0.071257235054,0.067474060423,0.066837497193,0.065788722874,0.069813239053,0.064482498228,0.067297251272,0.070726747602
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|321---Industria de la madera<C1>,0.094603264671,0.078101348326,0.08678423926,0.082085854567,0.094876180138,0.087842569285,0.089885372933,0.111114935784,0.1347124091,0.166562139776,0.191201252942,0.149769419614,0.129336067253,0.125713174241,0.1024849104,0.110997295059
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|322-323---Industria del papel; Impresión e industrias conexas<C1>,0.077683263571,0.068537518585,0.066118423797,0.071035105393,0.071216584066,0.068237895945,0.077348626988,0.079397760014,0.071813319331,0.067836162815,0.061928566636,0.052996318674,0.04425085574,0.039338526557,0.036580724975,0.03517070765
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|324-326---Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule<C1>,0.94021307034,0.872752123052,0.93190586664,0.910421151592,0.899380984683,0.751687126098,0.679086636578,0.738184413753,0.767529365222,0.743941843459,0.734800416172,0.698804069449,0.657548723163,0.659709672099,0.706200504839,0.701445968601
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|327---Fabricación de productos a base de minerales no metálicos<C1>,0.741871816479,0.596496832127,0.467522671219,0.443482785141,0.437599991518,0.383649315836,0.336456424054,0.268877589536,0.243124017915,0.285767239115,0.225110219097,0.226371009538,0.186690614837,0.160143053441,0.181169282566,0.184290156486
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|331-332---Industrias metálicas básicas; Fabricación de productos metálicos<C1>,0.137035321478,0.129553117883,0.124658458765,0.121090604892,0.118580499283,0.127006134421,0.135851291751,0.172575592364,0.176463415215,0.151447093101,0.085522699153,0.074469217497,0.065918864315,0.060529679395,0.067279159508,0.070096430322
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|333-336---Fabricación de maquinaria y equipo; Fabricación de equipo de computación, comunicación, medición y de otros equipos, componentes y accesorios electrónicos; Fabricación de accesorios, aparatos eléctricos y equipo de generación de energía eléctrica; Fabricación de equipo de transporte<C1>",0.009334448071,0.008403601028,0.008765939306,0.008719079073,0.009687453791,0.010044470154,0.00858676812,0.009595429961,0.009571600617,0.010343231599,0.009463707877,0.008049019526,0.007457980053,0.073615506613,0.075988699292,0.048930558776
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|337---Fabricación de muebles, colchones y persianas<C1>",0.080552975647,0.069875004463,0.069056281883,0.064873376914,0.063808916158,0.056785389055,0.062032386443,0.068300072074,0.073275026573,0.071209171393,0.059453353961,0.05221841457,0.054201792711,0.046207290799,0.042598703649,0.048384117709
