Descriptores,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017<R>,2018<P>
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades secundarias|31-33---Industrias manufactureras|339---Otras industrias manufactureras<C1>,0.160836909941,0.149076905351,0.162696564211,0.183996292158,0.196615326251,0.206312790028,0.20480043265,0.200085605858,0.189993488317,0.189933137585,0.181433633763,0.154240580013,0.14924109901,0.200519437295,0.229873131849,0.240221977585
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias<C1>,62.852336998581,63.319956515362,61.101053382558,60.81056861085,60.359612596249,60.553984333876,62.964287449065,61.774478866469,61.633902284988,60.227726222644,62.458272383611,62.664803416734,62.492372493283,62.629972826121,60.665256309948,60.949279901962
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|43---Comercio al por mayor<C1>,6.570809065592,6.613011019595,6.442178402022,6.605021093818,6.57016808354,6.673120946075,6.559582932377,6.711071761847,6.960502400609,6.965893137651,7.32394634186,7.555970594404,7.70835799631,7.22267680474,7.184918183402,7.189670391587
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|46---Comercio al por menor<C1>,11.467110562545,11.58871606511,11.294667135399,11.426292864291,11.505378266011,10.869857027431,9.66602778173,10.544490874099,10.54088804333,9.985453069561,10.066338982137,9.612359651219,9.752787560338,10.080384533235,9.712696649264,9.873998625136
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|48-49---Transportes, correos y almacenamiento<C1>",7.948111928779,8.106772869926,7.834563340655,7.796707650311,7.668990169957,7.247712506216,7.327019513093,7.241779565172,7.150085635196,7.013653449482,7.308234069697,7.372934701192,7.497988399225,7.426970617926,7.080069406262,6.998947245548
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|51---Información en medios masivos<C1>,0.316479926721,0.366526949191,0.416174725161,0.504623640458,0.602282576354,0.690170298953,0.84554560891,0.832408447352,0.854508857937,1.102261498035,1.21202884813,1.314434639093,1.398802022249,1.848991442464,1.880882440611,2.056547360295
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|52---Servicios financieros y de seguros<C1>,1.092425287136,1.260229342198,1.164335844787,1.230599448723,1.274812436586,1.609150801204,1.658741264445,1.823812454912,1.884595366504,2.046768342828,2.308408309199,2.689234993387,2.906472521121,3.224788430185,3.119329955398,3.185009968416
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles<C1>,15.023964273977,15.142050078089,14.773510509829,14.640226654208,14.496221772726,14.839327355703,16.384137021123,15.609371909363,15.314605099246,14.785069879147,15.044664965074,15.177060221064,15.098473196954,14.911949099101,14.155884592325,14.048199586816
"Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|54---Servicios profesionales, científicos y técnicos<C1>",1.208902565762,1.259434580712,1.168755255129,1.116990681713,1.169205045391,1.246580718257,1.208819179057,1.056143969341,1.03933890579,1.097163888026,1.013075742995,1.053773122693,1.008146214527,1.095844069512,1.209329986932,1.210358055715
Valores constantes|Participación porcentual|B.1bV---Valor agregado bruto|Actividades terciarias|55---Corporativos<C1>,0.053460500085,0.049547441352,0.04536954559,0.044576559613,0.043148544811,0.041760287633,0.045395672717,0.044429848647,0.04443793804,0.045291911071,0.043843646571,0.042835927446,0.043778330748,0.046655082994,0.046505599364,0.045203358106
